GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler.cache,TemporaryDirectoryUtils,47,0,4,0,8,0,4,0,2,0
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler.cache,FullCacheImpl.EntryType,86,0,0,0,6,0,5,0,5,0
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler.cache,FullCacheImpl,261,0,8,0,50,0,24,0,20,0
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler.cache,FullCacheAdapter,138,0,10,0,38,0,22,0,17,0
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler.cache,FullCacheAdapterBuilder,99,0,12,0,30,0,13,0,7,0
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler.cache,FullCacheBuilder,53,0,6,0,16,0,7,0,4,0
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler.cache,CacheException,13,0,0,0,6,0,3,0,3,0
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler.storage,DataStorageImpl,269,0,14,0,68,0,18,0,11,0
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler.storage,DataStorageException,13,0,0,0,6,0,3,0,3,0
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler.control.processor,SourceTreeWithCodeCachingPreparationProcessor,0,88,0,2,0,20,0,3,0,2
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler.control.processor,AbstractSourceTreePreparationProcessor,8,58,1,5,3,15,2,4,1,2
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler.control.processor,SourceTreePreparationProcessor,0,65,0,2,0,15,0,3,0,2
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler.control.processor,SourceTreeWithCodeCachingPreparationProcessorBuilder,128,0,16,0,31,0,15,0,7,0
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler.control.processor,SourceTreePreparationProcessorBuilder,92,0,12,0,22,0,11,0,5,0
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler.control.processor,DoNothingPostCompilationProcessor,5,0,0,0,3,0,2,0,2,0
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler.control.processor,DoNothingPreCompilationProcessor,4,0,0,0,3,0,2,0,2,0
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler.control.expiration,CompiledSourceExpirationCheckerImpl,8,83,1,9,1,20,2,8,1,4
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler.control.expiration,SourceModificationDateBasedExpirationChecker,0,23,0,2,0,7,0,3,0,2
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler.control.expiration,SourceAlwaysExpiredChecker,5,0,0,0,3,0,2,0,2,0
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler.imports,LessImportOperation,41,61,3,3,10,13,9,2,6,2
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler.imports,LessImportResolverImpl,20,90,4,14,2,20,3,9,0,3
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler.imports,LessImportReplacerImpl,0,76,0,2,0,15,0,3,0,2
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler.imports,ImportException,9,4,0,0,4,2,2,1,2,1
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler,CachingSourceAndCompiledCodeExtendedCompilerBuilder,159,0,14,0,29,0,15,0,8,0
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler,CachingSourceCodeExtendedCompilerBuilder,136,0,14,0,26,0,15,0,8,0
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler,NonCachingExtendedCompilerBuilder,71,0,8,0,15,0,10,0,6,0
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler,ExtendedCompilerException,9,4,0,0,4,2,2,1,2,1
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler,CachingCompiledCodeExtendedCompiler,29,61,2,4,6,16,2,5,1,3
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler,CachingCompiledCodeExtendedCompilerBuilder,152,0,14,0,31,0,14,0,7,0
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler,SimpleExtendedCompiler,21,35,0,0,4,10,1,2,1,2
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler.control.provider,CachedSourceFileProvider,11,0,0,0,4,0,2,0,2,0
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler.control.provider,SourcePathFileProvider,9,0,0,0,3,0,2,0,2,0
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler.source,LocalSourceFactory,13,51,5,3,1,11,4,5,1,4
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler.source,LocalSource,56,72,5,15,15,18,8,10,4,4
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler.source,FtpSourceFactory,37,50,2,0,11,8,2,3,1,3
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler.source,SourceException,13,0,0,0,6,0,3,0,3,0
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler.source,HttpSource,205,33,18,0,51,6,16,3,7,3
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler.source,HttpSourceFactory,45,46,6,0,11,8,4,3,1,3
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler.source,SourceFactoryImpl,90,0,10,0,16,0,7,0,2,0
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler.source,FtpSource,214,23,12,2,51,6,14,3,8,2
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler.source,SourceFactoryBuilder,87,0,10,0,19,0,12,0,7,0
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler.source,SourceFactoryException,13,0,0,0,6,0,3,0,3,0
