GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler.cache,TemporaryDirectoryUtils,47,0,4,0,8,0,4,0,2,0
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler.cache,FullCacheImpl.EntryType,86,0,0,0,6,0,5,0,5,0
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler.cache,FullCacheImpl,261,0,8,0,50,0,24,0,20,0
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler.cache,FullCacheAdapter,25,113,5,5,5,33,5,17,0,17
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler.cache,FullCacheAdapterBuilder,30,69,6,6,6,24,6,7,0,7
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler.cache,FullCacheBuilder,53,0,6,0,16,0,7,0,4,0
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler.cache,CacheException,13,0,0,0,6,0,3,0,3,0
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler.storage,DataStorageImpl,269,0,14,0,68,0,18,0,11,0
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler.storage,DataStorageException,13,0,0,0,6,0,3,0,3,0
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler.control.processor,SourceTreeWithCodeCachingPreparationProcessor,0,88,0,2,0,20,0,3,0,2
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler.control.processor,AbstractSourceTreePreparationProcessor,8,58,1,5,3,15,2,4,1,2
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler.control.processor,SourceTreePreparationProcessor,0,65,0,2,0,15,0,3,0,2
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler.control.processor,SourceTreeWithCodeCachingPreparationProcessorBuilder,52,76,11,5,12,19,9,6,1,6
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler.control.processor,SourceTreePreparationProcessorBuilder,39,53,8,4,9,13,7,4,1,4
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler.control.processor,DoNothingPostCompilationProcessor,0,5,0,0,0,3,0,2,0,2
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler.control.processor,DoNothingPreCompilationProcessor,0,4,0,0,0,3,0,2,0,2
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler.control.expiration,CompiledSourceExpirationCheckerImpl,8,83,1,9,1,20,2,8,1,4
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler.control.expiration,SourceModificationDateBasedExpirationChecker,0,23,0,2,0,7,0,3,0,2
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler.control.expiration,SourceAlwaysExpiredChecker,0,5,0,0,0,3,0,2,0,2
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler.imports,LessImportOperation,41,61,3,3,10,13,9,2,6,2
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler.imports,LessImportResolverImpl,0,115,0,18,0,24,0,13,0,4
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler.imports,LessImportReplacerImpl,0,76,0,2,0,15,0,3,0,2
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler.imports,ImportException,9,4,0,0,4,2,2,1,2,1
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler,CachingSourceAndCompiledCodeExtendedCompilerBuilder,5,194,1,13,1,39,1,24,0,18
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler,CachingSourceCodeExtendedCompilerBuilder,5,140,1,13,1,29,1,17,0,11
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler,NonCachingExtendedCompilerBuilder,0,71,0,8,0,15,0,10,0,6
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler,ExtendedCompilerException,9,4,0,0,4,2,2,1,2,1
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler,CachingCompiledCodeExtendedCompiler,0,90,0,6,0,22,0,7,0,4
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler,CachingCompiledCodeExtendedCompilerBuilder,5,181,1,13,1,40,1,22,0,16
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler,SimpleExtendedCompiler,0,56,0,0,0,14,0,3,0,3
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler.control.provider,CachedSourceFileProvider,0,11,0,0,0,4,0,2,0,2
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler.control.provider,SourcePathFileProvider,0,9,0,0,0,3,0,2,0,2
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler.source,ClasspathSourceFactory,6,7,0,0,1,3,1,2,1,2
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler.source,LocalSourceFactory,13,51,5,3,1,11,4,5,1,4
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler.source,LocalSource,74,80,2,18,14,21,5,14,4,5
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler.source,FtpSourceFactory,7,7,0,0,1,3,1,2,1,2
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler.source,SourceException,13,0,0,0,6,0,3,0,3,0
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler.source,ClasspathSource,106,0,2,0,26,0,8,0,7,0
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler.source,HttpSource,247,0,18,0,57,0,19,0,10,0
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler.source,AbstractUriSourceFactory,14,55,0,2,4,11,0,5,0,4
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler.source,HttpSourceFactory,6,15,0,4,1,3,1,4,1,2
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler.source,SourceFactoryImpl,0,90,0,10,0,16,0,7,0,2
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler.source,FtpSource,263,0,14,0,58,0,17,0,10,0
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler.source,SourceFactoryBuilder,0,106,1,11,0,24,1,14,0,9
Extended LessCSS Compiler,biz.gabrys.lesscss.extended.compiler.source,SourceFactoryException,9,4,0,0,4,2,2,1,2,1
